2026-09-06 16:51:29,825 | INFO | hr_assistant.evaluation | Dataset 'hr-policy-qna' already exists, reusing it
2026-09-06 16:51:49,282 | INFO | hr_assistant.pipeline | Asking question to HR agent: How many days of paid annual leave do I get per year?
2026-09-06 16:51:49,509 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:49,873 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:50,098 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:50,799 | INFO | httpx | HTTP Request: POST https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/points/query "HTTP/1.1 200 OK"
2026-09-06 16:51:51,714 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:53,069 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:53,077 | INFO | hr_assistant.pipeline | Asking question to HR agent: How long is the probation period?
2026-09-06 16:51:53,304 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:53,391 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:51:53,393 | INFO | openai._base_client | Retrying request in 4.000000 seconds
2026-09-06 16:51:57,856 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:58,071 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:51:59,403 | INFO | httpx | HTTP Request: POST https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/points/query "HTTP/1.1 200 OK"
2026-09-06 16:51:59,471 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:51:59,474 | INFO | openai._base_client | Retrying request in 6.000000 seconds
2026-09-06 16:52:05,997 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:52:05,999 | INFO | openai._base_client | Retrying request in 2.000000 seconds
2026-09-06 16:52:08,824 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:52:08,907 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:52:08,908 | INFO | openai._base_client | Retrying request in 9.000000 seconds
2026-09-06 16:52:18,891 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:52:18,911 | INFO | hr_assistant.pipeline | Asking question to HR agent: What is the notice period during probation?
2026-09-06 16:52:19,401 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:52:20,255 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:52:20,523 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:52:22,042 | INFO | httpx | HTTP Request: POST https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/points/query "HTTP/1.1 200 OK"
2026-09-06 16:52:22,134 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:52:22,136 | INFO | openai._base_client | Retrying request in 6.000000 seconds
2026-09-06 16:52:29,265 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:52:29,344 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:52:29,349 | INFO | openai._base_client | Retrying request in 11.000000 seconds
2026-09-06 16:52:42,102 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:52:42,175 | INFO | hr_assistant.pipeline | Asking question to HR agent: Within how many days must reimbursement claims be submitted?
2026-09-06 16:52:42,569 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:52:43,241 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:52:43,242 | INFO | openai._base_client | Retrying request in 4.000000 seconds
2026-09-06 16:52:47,769 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:52:48,058 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:52:49,420 | INFO | httpx | HTTP Request: POST https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/points/query "HTTP/1.1 200 OK"
2026-09-06 16:52:49,500 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:52:49,502 | INFO | openai._base_client | Retrying request in 6.000000 seconds
2026-09-06 16:52:56,614 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:52:56,705 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:52:56,708 | INFO | openai._base_client | Retrying request in 9.000000 seconds
2026-09-06 16:53:06,896 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:06,905 | INFO | hr_assistant.pipeline | Asking question to HR agent: How many public holidays does the company observe each year?
2026-09-06 16:53:07,215 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:07,704 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:08,084 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:12,901 | INFO | httpx | HTTP Request: POST https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/points/query "HTTP/1.1 200 OK"
2026-09-06 16:53:13,561 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:53:13,562 | INFO | openai._base_client | Retrying request in 1.000000 seconds
2026-09-06 16:53:14,972 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:15,115 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:53:15,118 | INFO | openai._base_client | Retrying request in 9.000000 seconds
2026-09-06 16:53:25,627 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:25,640 | INFO | hr_assistant.pipeline | Asking question to HR agent: How many days per week can I work from home?
2026-09-06 16:53:26,190 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:26,702 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:53:26,703 | INFO | openai._base_client | Retrying request in 4.000000 seconds
2026-09-06 16:53:31,182 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:31,411 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:40,092 | INFO | httpx | HTTP Request: POST https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/points/query "HTTP/1.1 200 OK"
2026-09-06 16:53:41,204 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:41,517 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:53:41,536 | INFO | openai._base_client | Retrying request in 9.000000 seconds
2026-09-06 16:53:52,374 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:52,379 | INFO | hr_assistant.pipeline | Asking question to HR agent: How many paid sick days do I get per year?
2026-09-06 16:53:52,666 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:53,330 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:53:53,331 | INFO | openai._base_client | Retrying request in 4.000000 seconds
2026-09-06 16:53:57,678 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:53:58,014 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:54:03,230 | INFO | httpx | HTTP Request: POST https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/points/query "HTTP/1.1 200 OK"
2026-09-06 16:54:03,454 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:54:03,458 | INFO | openai._base_client | Retrying request in 3.000000 seconds
2026-09-06 16:54:07,007 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:54:07,088 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:54:07,091 | INFO | openai._base_client | Retrying request in 10.000000 seconds
2026-09-06 16:54:18,745 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:54:18,751 | INFO | hr_assistant.pipeline | Asking question to HR agent: Within how many days is full and final settlement processed after the last working day?
2026-09-06 16:54:19,162 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:54:19,741 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:54:19,742 | INFO | openai._base_client | Retrying request in 3.000000 seconds
2026-09-06 16:54:23,078 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:54:23,311 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:54:24,674 | INFO | httpx | HTTP Request: POST https://66ea0f03-befe-495a-9494-99379441e7eb.eu-west-1-0.aws.cloud.qdrant.io:6333/collections/hr_policy_collection/points/query "HTTP/1.1 200 OK"
2026-09-06 16:54:24,739 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:54:24,741 | INFO | openai._base_client | Retrying request in 6.000000 seconds
2026-09-06 16:54:31,664 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-06 16:54:31,741 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-09-06 16:54:31,742 | INFO | openai._base_client | Retrying request in 9.000000 seconds
2026-09-06 16:54:42,139 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
